               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.024198,            0.037252,            0.015803,             0.88384,             0.61022,             0.63401,             0.49842,            0.027435,           0.0054373,           0.0096384,            0.007543,            0.007543,            0.007543
                  37,            0.024073,             0.03703,            0.015681,             0.88492,             0.60212,              0.6344,             0.49886,            0.027224,           0.0054632,           0.0097207,            0.007416,            0.007416,            0.007416
                  38,            0.023958,             0.03672,            0.015559,             0.87241,             0.62067,             0.63784,             0.49886,            0.027142,           0.0054428,           0.0096636,           0.0072872,           0.0072872,           0.0072872
                  39,            0.023696,            0.036679,            0.015157,             0.88584,             0.61011,             0.63611,             0.50239,            0.026784,           0.0053698,           0.0097935,           0.0071566,           0.0071566,           0.0071566
                  40,            0.023614,            0.036552,            0.014926,             0.89385,             0.61184,             0.64082,             0.50658,              0.0264,           0.0052653,           0.0094258,           0.0070243,           0.0070243,           0.0070243
                  41,            0.023351,            0.036321,            0.014686,             0.88705,             0.61782,             0.64095,             0.50909,            0.025866,           0.0052446,           0.0091646,           0.0068906,           0.0068906,           0.0068906
                  42,            0.023259,            0.036092,            0.014591,             0.88532,              0.6306,             0.64502,             0.51255,            0.025801,           0.0052384,           0.0089657,           0.0067555,           0.0067555,           0.0067555
                  43,            0.023169,            0.035811,             0.01437,              0.8971,             0.62147,              0.6461,             0.51244,            0.025705,           0.0052393,           0.0086756,           0.0066191,           0.0066191,           0.0066191
                  44,            0.022986,            0.035798,            0.014106,              0.9048,             0.62309,             0.64944,             0.51761,            0.025489,           0.0051411,           0.0084261,           0.0064816,           0.0064816,           0.0064816
                  45,            0.022686,            0.035437,             0.01397,             0.90911,              0.6213,              0.6524,             0.52159,            0.025251,           0.0051055,            0.008323,           0.0063432,           0.0063432,           0.0063432
                  46,             0.02271,            0.034874,            0.013803,             0.91932,             0.62266,             0.65635,             0.52756,            0.025204,           0.0050734,           0.0081635,            0.006204,            0.006204,            0.006204
                  47,            0.022574,            0.034969,            0.013626,             0.90421,             0.63398,             0.65821,             0.52934,             0.02523,           0.0050555,           0.0080625,            0.006064,            0.006064,            0.006064
                  48,            0.022459,            0.034742,            0.013414,             0.90795,             0.63773,             0.66147,             0.53082,            0.024926,           0.0049951,           0.0079345,           0.0059235,           0.0059235,           0.0059235
                  49,            0.022235,            0.034693,            0.013189,              0.9124,             0.63405,             0.66099,             0.53148,            0.024859,           0.0049934,           0.0078939,           0.0057826,           0.0057826,           0.0057826
                  50,            0.021995,            0.034116,             0.01302,             0.90588,             0.63908,             0.66271,              0.5321,            0.024861,           0.0049796,           0.0076815,           0.0056413,           0.0056413,           0.0056413
                  51,            0.021924,            0.034212,            0.012829,             0.92086,             0.62914,             0.66329,             0.53256,            0.024724,           0.0049643,           0.0076758,              0.0055,              0.0055,              0.0055
                  52,            0.021771,            0.033986,            0.012778,             0.90614,             0.64467,             0.66567,             0.53453,            0.024647,           0.0049303,            0.007595,           0.0053587,           0.0053587,           0.0053587
                  53,            0.021657,            0.033996,             0.01231,             0.90706,             0.64973,               0.668,              0.5378,            0.024526,           0.0048889,           0.0075417,           0.0052174,           0.0052174,           0.0052174
                  54,            0.021253,            0.033778,            0.012063,              0.9148,             0.64766,             0.66896,             0.53938,            0.024393,           0.0048861,           0.0074901,           0.0050765,           0.0050765,           0.0050765
                  55,            0.021151,            0.033121,            0.011982,              0.9139,             0.65127,             0.67024,             0.54049,            0.024348,           0.0048615,           0.0074199,            0.004936,            0.004936,            0.004936
                  56,             0.02109,            0.033216,            0.011866,             0.92411,             0.64574,             0.67106,              0.5427,             0.02431,            0.004839,           0.0073631,            0.004796,            0.004796,            0.004796
                  57,            0.020973,            0.032984,            0.011732,             0.92431,             0.65038,             0.67293,             0.54373,            0.024267,           0.0048114,           0.0072811,           0.0046568,           0.0046568,           0.0046568
                  58,            0.020833,             0.03268,            0.011561,             0.92043,             0.65568,             0.67443,             0.54567,            0.024188,           0.0047825,           0.0072276,           0.0045184,           0.0045184,           0.0045184
                  59,             0.02056,            0.032586,            0.011438,             0.92701,             0.65159,             0.67453,             0.54668,            0.024136,           0.0047645,           0.0071847,           0.0043809,           0.0043809,           0.0043809
                  60,             0.02047,            0.032222,            0.011268,             0.92748,              0.6518,             0.67537,             0.54748,            0.024053,           0.0047425,            0.007202,           0.0042445,           0.0042445,           0.0042445
